,sku_file_price,Stock Qty,special_price,act_post,nsw_m_post,nsw_r_post,nt_m_post,nt_r_post,qld_m_post,qld_r_post,remote_post,sa_m_post,sa_r_post,tas_m_post,tas_r_post,vic_m_post,vic_r_post,wa_m_post,wa_r_post,Original_SKU
3908,147.90,0.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-YL
3909,165.30,0.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-WH
3910,253.10,200.0,227.8,13.0,0.0,20.0,39.0,47.0,0.0,21.0,35.0,0.0,27.0,0.0,19.0,0.0,13.0,0.0,43.0,OCHAIR-G-RGB-4799-RD-BK
3911,147.90,0.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-GY
3912,168.70,80.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-RD
3913,147.90,1.0,-1.0,12.0,0.0,18.0,36.0,44.0,0.0,20.0,32.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0,41.0,OCHAIR-G-R4757-FT-BK-PK
3914,88.00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-ADA-50L-SS
3915,123.20,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-ADA-60L-SS
3916,74.80,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SB-C01-ADA-70L-SS
3917,104.40,200.0,94.0,5.0,5.0,6.0,14.0,13.0,6.0,10.0,12.0,5.0,13.0,5.0,5.0,3.0,6.0,10.0,17.0,GWM-120CM-BR
3918,133.10,200.0,119.8,15.0,15.0,20.0,82.0,98.0,20.0,30.0,49.0,15.0,42.0,15.0,15.0,8.0,30.0,30.0,116.0,GWM-160CM-BR
3919,65.10,200.0,-1.0,14.0,14.0,18.0,77.0,92.0,18.0,28.0,45.0,14.0,39.0,14.0,14.0,8.0,28.0,28.0,109.0,UMB-POLE-3-H-BG-BASE
3920,126.10,200.0,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA-TW-8201-GY
3921,220.90,200.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,33.0,BA-TW-8036-BKX2
3922,164.40,200.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,33.0,BA-TW-8036-GYX2
3923,167.20,0.0,-1.0,24.0,24.0,31.0,153.0,146.0,33.0,50.0,85.0,25.0,57.0,24.0,36.0,10.0,41.0,52.0,190.0,BFRAME-H-LARS-D-CA-AB
3924,167.20,0.0,-1.0,24.0,24.0,31.0,153.0,146.0,33.0,50.0,85.0,25.0,57.0,24.0,36.0,10.0,41.0,52.0,190.0,BFRAME-H-LARS-D-GY-AB
